Date,Balance,DepositLoad,Drawdown,Profit,Loss,Profitability,DLP,DDP,KPI 
1/12/2024,500,0,0,118.27,13.3,0.20994,0,0,20.994
1/13/2024,604.97,1.4,10.24,0,0,0,0,0,1
1/14/2024,604.97,1.4,0.618,0,0,0,0,0,1
1/15/2024,604.97,1.4,0.618,234.07,25.76,0.344331124,0,0,34.43311239
1/16/2024,813.28,7.82,15.72,758.19,208.8,0.675523805,0,0,67.55238048
1/17/2024,1362.67,7.69,42.13,1571,428.13,0.838699025,0,121.3,-37.43009753
1/18/2024,2506.53,0,84.74,222.61,2633,-0.961644185,0,547.4,-643.5644185
1/19/2024,96.14,18.26,93.2,5.88,99.56,-0.974412315,82.6,632,-729.4412315
1/20/2024,2.46,0,93.19,0,0,0,0,631.9,-631.9
1/29/2024,0,0,2.46,0,29.16,0,0,0,1
1/30/2024,473.3,15.08,3.33,110.5,65.64,0.094781323,50.8,0,9.478132263
1/31/2024,518.16,0,8.43,176.05,75.31,0.194418712,0,0,19.44187124
2/1/2024,618.9,0,16.99,36.91,7.21,0.047988366,0,0,4.798836646
2/2/2024,648.6,5.65,1.98,32.31,-5.01,0.057539315,0,0,5.753931545
2/3/2024,675.9,17.7,7.26,0,0,0,77,0,1
2/4/2024,675.9,17.7,3.45,0,0,0,77,0,1
2/5/2024,675.9,17.7,3.45,45.43,16.94,0.042151206,77,0,4.21512058
2/6/2024,704.31,27.88,11.28,92.54,20.48,0.102312902,178.8,0,10.2312902
2/7/2024,775.95,13.28,12.94,138.96,126.55,0.015993299,32.8,0,1.599329854
2/8/2024,798.93,8,6.93,159.55,25.88,0.167311279,0,0,16.73112788
2/9/2024,869.46,27.31,0,269.25,95.97,0.199296115,173.1,0,19.92961148
2/10/2024,1036,32.44,0,,,0,224.4,0,1
,,,,,,,,,
,,,,,,,,,
